Station,Zip,Location,ann-tmin-prbfst-t24Fp50.txt,ann-tmin-prbfst-t24Fp60.txt,ann-tmin-prbfst-t24Fp70.txt,ann-tmin-prbfst-t24Fp80.txt,ann-tmin-prbfst-t24Fp90.txt,ann-tmin-prbfst-t28Fp50.txt,ann-tmin-prbfst-t28Fp60.txt,ann-tmin-prbfst-t28Fp70.txt,ann-tmin-prbfst-t28Fp80.txt,ann-tmin-prbfst-t28Fp90.txt,ann-tmin-prbfst-t32Fp50.txt,ann-tmin-prbfst-t32Fp60.txt,ann-tmin-prbfst-t32Fp70.txt,ann-tmin-prbfst-t32Fp80.txt,ann-tmin-prbfst-t32Fp90.txt,ann-tmin-prblst-t24Fp50.txt,ann-tmin-prblst-t24Fp60.txt,ann-tmin-prblst-t24Fp70.txt,ann-tmin-prblst-t24Fp80.txt,ann-tmin-prblst-t24Fp90.txt,ann-tmin-prblst-t28Fp50.txt,ann-tmin-prblst-t28Fp60.txt,ann-tmin-prblst-t28Fp70.txt,ann-tmin-prblst-t28Fp80.txt,ann-tmin-prblst-t28Fp90.txt,ann-tmin-prblst-t32Fp50.txt,ann-tmin-prblst-t32Fp60.txt,ann-tmin-prblst-t32Fp70.txt,ann-tmin-prblst-t32Fp80.txt,ann-tmin-prblst-t32Fp90.txt
USC00012813,36532,Fairhope,12/29C,01/02C,01/08C,01/17C,01/30C,12/18C,12/24C,12/30C,01/05C,01/16C,12/02C,12/05C,12/10C,12/17C,12/28C,01/27C,01/19C,01/12C,01/04C,12/26C,02/09C,02/04C,01/31C,01/25C,01/12C,02/26C,02/22C,02/17C,02/11C,02/03C
USC00012883,35555,Fayette,12/06R,12/10R,12/17R,12/25R,01/03R,11/22R,11/27R,12/01R,12/05R,12/13R,11/07R,11/10R,11/15R,11/20R,11/29R,02/20R,02/14R,02/07R,02/01R,01/25R,03/10R,03/04R,02/28R,02/22R,02/14R,03/30R,03/25R,03/19R,03/14R,03/05R
USC00013105,36445,Frisco City,12/20R,12/25R,01/01R,01/06R,01/17R,12/05R,12/09R,12/14R,12/22R,01/01R,11/22R,11/26R,12/01R,12/04R,12/10R,02/06R,02/01R,01/28R,01/20R,01/08R,02/27R,02/21R,02/16R,02/08R,01/31R,03/14R,03/09R,03/04R,02/27R,02/20R
USC00013154,35901,Gadsden,12/09S,12/14S,12/21S,12/27S,01/04S,11/27S,12/01S,12/04S,12/08S,12/18S,11/12S,11/15S,11/20S,11/26S,12/02S,02/22S,02/17S,02/12S,02/06S,01/31S,03/10S,03/05S,02/28S,02/24S,02/17S,03/26S,03/21S,03/17S,03/12S,03/04S
USC00013160,35460,Epes,12/12S,12/17S,12/24S,12/31S,01/07S,11/28S,12/01S,12/04S,12/09S,12/20S,11/13S,11/17S,11/21S,11/26S,12/02S,02/13S,02/07S,02/03S,01/31S,01/22S,03/01S,02/26S,02/20S,02/16S,02/07S,03/17S,03/13S,03/08S,03/02S,02/25S
USC00013251,36340,Geneva,12/14S,12/20S,12/26S,01/02S,01/13S,11/30S,12/03S,12/06S,12/12S,12/24S,11/14S,11/18S,11/22S,11/28S,12/04S,02/13S,02/07S,02/01S,01/27S,01/14S,03/02S,02/27S,02/21S,02/15S,02/06S,03/19S,03/15S,03/10S,03/03S,02/24S
USC00013511,36744,Greensboro,12/11S,12/18S,12/26S,01/01S,01/10S,11/27S,12/01S,12/05S,12/11S,12/23S,11/13S,11/17S,11/21S,11/27S,12/04S,02/15S,02/09S,02/03S,01/30S,01/20S,03/03S,02/27S,02/22S,02/16S,02/08S,03/20S,03/15S,03/10S,03/05S,02/26S
USC00013519,36037,Greenville,12/04S,12/08S,12/13S,12/21S,01/01S,11/22S,11/26S,12/01S,12/04S,12/10S,11/08S,11/12S,11/16S,11/21S,11/30S,02/27S,02/22S,02/17S,02/10S,02/01S,03/14S,03/10S,03/05S,02/28S,02/20S,03/31S,03/27S,03/23S,03/18S,03/11S
USC00013573,35976,Guntersville,12/13S,12/17S,12/23S,12/29S,01/05S,12/01S,12/03S,12/07S,12/12S,12/21S,11/16S,11/20S,11/25S,12/01S,12/05S,02/26S,02/21S,02/16S,02/09S,01/31S,03/12S,03/07S,03/03S,02/27S,02/20S,03/27S,03/23S,03/18S,03/14S,03/06S
USC00013575,35976,Guntersville,12/15R,12/20R,12/25R,12/31R,01/07R,12/03R,12/06R,12/10R,12/15R,12/24R,11/20R,11/25R,11/29R,12/02R,12/07R,02/18R,02/14R,02/09R,02/04R,01/29R,03/04R,02/28R,02/24R,02/20R,02/13R,03/21R,03/16R,03/12R,03/06R,02/28R
USC00013620,35565,Haleyville,12/13S,12/18S,12/24S,12/30S,01/06S,12/01S,12/03S,12/07S,12/13S,12/22S,11/14S,11/19S,11/23S,11/29S,12/05S,02/22S,02/17S,02/12S,02/06S,01/30S,03/06S,03/02S,02/26S,02/22S,02/15S,03/23S,03/18S,03/13S,03/08S,03/01S
